net_idx,inject_time_us,network,num_inputs
1,3,vgg16,10
2,1654,alexnet,8
3,1873,alexnet,6
4,2599,resnet18,5
5,3713,resnet18,1
6,4140,vgg16,7
7,7179,alexnet,9
8,9167,resnet18,1
9,9480,alexnet,8
10,10062,alexnet,1
11,10888,alexnet,8
12,11528,alexnet,9
13,12569,vgg16,9
14,13290,alexnet,7
15,13305,resnet18,10
16,13869,resnet18,7
17,15368,resnet18,9
18,15813,alexnet,5
19,16448,vgg16,9
20,16676,alexnet,7
21,16951,alexnet,10
22,18032,vgg16,5
23,18124,alexnet,10
24,19399,resnet18,2
25,20230,alexnet,2
26,21179,vgg16,8
27,22746,alexnet,2
28,22998,alexnet,2
29,23325,resnet18,3
30,24288,vgg16,7
31,24344,alexnet,8
32,25123,vgg16,4
33,29464,resnet18,7
34,30027,alexnet,7
35,30924,alexnet,9
36,32281,alexnet,4
37,32631,alexnet,3
38,33087,vgg16,7
39,33315,resnet18,2
40,34567,resnet18,3
41,34761,resnet18,3
42,35965,resnet18,5
43,37238,resnet18,4
44,39228,resnet18,5
45,39429,vgg16,10
46,39466,resnet18,4
47,40423,alexnet,1
48,42088,alexnet,6
49,42617,alexnet,9
50,42657,vgg16,9
51,43382,alexnet,5
52,45612,vgg16,6
53,45993,resnet18,7
54,48236,alexnet,1
55,48607,resnet18,10
56,48779,resnet18,9
57,49226,alexnet,8
58,49354,vgg16,9
59,49399,resnet18,4
60,50961,resnet18,5
61,51474,resnet18,2
62,52065,resnet18,8
63,52600,vgg16,5
64,54043,resnet18,7
65,55213,resnet18,3
66,55943,resnet18,1
67,56831,alexnet,6
68,59168,alexnet,3
69,60103,resnet18,4
70,60509,resnet18,6
71,62473,alexnet,6
72,62737,vgg16,9
73,63478,vgg16,5
74,63694,vgg16,1
75,65020,alexnet,9
76,65070,resnet18,8
77,65425,resnet18,1
78,66177,resnet18,5
79,66705,resnet18,8
80,67384,vgg16,7
81,69106,alexnet,3
82,69375,vgg16,4
83,69463,alexnet,9
84,72843,resnet18,1
85,74143,alexnet,10
86,74481,resnet18,5
87,74655,resnet18,2
88,76276,vgg16,5
89,76672,vgg16,1
90,76784,vgg16,6
91,78024,vgg16,6
92,79256,resnet18,4
93,80353,alexnet,9
94,80446,resnet18,8
95,81686,alexnet,3
96,81733,alexnet,8
97,81833,vgg16,5
98,82605,alexnet,10
99,85017,vgg16,8
100,87409,alexnet,2
101,90214,vgg16,5
102,91753,alexnet,10
103,94498,alexnet,10
104,94703,alexnet,5
105,94844,alexnet,1
106,97854,alexnet,10
107,99068,vgg16,8
