net_idx,inject_time_us,network,num_inputs
1,0,resnet18,7
2,1,resnet34,3
3,1,resnet50,3
4,2,resnet50,8
5,2,resnet18,10
6,7,mobilenet_v3,2
7,9,alexnet,3
8,9,resnet18,7
9,10,mobilenet_v3,5
10,14,resnet18,2
11,15,resnet18,2
12,17,resnet50,5
13,18,resnet18,9
14,22,resnet50,1
15,23,resnet18,8
16,24,resnet34,3
17,26,alexnet,2
18,26,mobilenet_v3,7
19,27,resnet50,6
20,28,resnet34,5
21,28,resnet34,6
22,32,resnet34,9
23,32,resnet34,5
24,33,resnet34,9
25,33,resnet18,4
26,34,resnet34,3
27,35,resnet50,10
28,35,resnet34,5
29,36,resnet34,4
30,36,alexnet,2
31,36,resnet50,3
32,36,resnet50,6
33,37,alexnet,2
34,38,resnet50,6
35,38,alexnet,5
36,41,mobilenet_v3,5
37,41,resnet50,4
38,44,resnet50,2
39,45,resnet18,10
40,45,resnet50,1
41,46,resnet18,7
42,47,resnet18,2
43,47,resnet34,7
44,48,mobilenet_v3,3
45,48,resnet34,3
46,49,resnet34,9
47,49,resnet18,2
48,50,mobilenet_v3,5
49,50,alexnet,6
50,50,resnet50,5
51,51,resnet50,10
52,53,alexnet,5
53,54,resnet18,5
54,55,resnet18,10
55,55,resnet50,10
56,57,mobilenet_v3,8
57,57,resnet50,3
58,58,resnet18,9
59,61,resnet34,3
60,62,alexnet,2
61,62,resnet18,3
62,64,resnet34,7
63,64,resnet34,5
64,65,resnet34,9
65,65,alexnet,5
66,66,resnet18,4
67,67,resnet34,4
68,68,resnet18,4
69,69,resnet18,2
70,71,resnet18,8
71,71,resnet34,5
72,71,alexnet,6
73,72,resnet34,7
74,72,resnet34,6
75,73,mobilenet_v3,2
76,75,alexnet,4
77,75,alexnet,1
78,77,resnet18,9
79,77,resnet50,4
80,77,resnet34,7
81,77,resnet34,10
82,77,resnet50,8
83,78,resnet34,6
84,81,mobilenet_v3,9
85,84,resnet18,1
86,84,alexnet,3
87,85,resnet18,2
88,85,resnet34,2
89,87,alexnet,3
90,87,resnet50,4
91,89,alexnet,1
92,89,resnet34,4
93,89,resnet34,8
94,90,resnet50,1
95,90,resnet18,3
96,92,resnet18,6
97,92,resnet18,10
98,94,resnet18,3
99,96,resnet18,8
100,97,resnet50,1
101,97,resnet18,8
