net_idx,inject_time_us,network,num_inputs
1,0,resnet18,20
2,1,resnet18,20
3,3,resnet34,20
4,3,resnet50,20
5,4,resnet50,20
6,4,resnet34,20
7,6,resnet18,20
8,7,resnet50,20
9,8,alexnet,20
10,9,resnet50,20
11,9,alexnet,20
12,9,alexnet,20
13,10,resnet50,20
14,10,resnet18,20
15,12,resnet50,20
16,13,resnet18,20
17,15,resnet34,20
18,15,resnet50,20
19,16,alexnet,20
20,16,resnet34,20
21,16,alexnet,20
22,17,alexnet,20
23,17,resnet50,20
24,19,resnet50,20
25,20,resnet34,20
26,20,resnet34,20
27,23,resnet50,20
28,27,alexnet,20
29,27,alexnet,20
30,28,alexnet,20
31,28,alexnet,20
32,28,alexnet,20
33,31,resnet50,20
34,34,resnet50,20
35,34,resnet34,20
36,35,alexnet,20
37,35,alexnet,20
38,36,resnet18,20
39,37,resnet34,20
40,37,alexnet,20
41,39,resnet18,20
42,40,resnet50,20
43,44,resnet18,20
44,45,alexnet,20
45,46,resnet34,20
46,46,resnet34,20
47,47,resnet34,20
48,48,resnet34,20
