source_pe,dest_pe,traffic
0,1,65536
0,2,98304
1,2,131072
2,3,98304
2,5,131072
3,4,131072
4,5,131072
5,6,131072
5,7,163840
5,10,229376
5,9,196608
6,5,163840
7,8,131072
8,5,196608
9,10,131072
10,11,229376
10,12,262144
11,12,131072
12,13,262144
13,14,32768
13,15,40960
14,15,32768
15,16,40960
15,18,49152
15,19,57344
16,17,32768
17,15,49152
18,19,32768
19,20,57344
19,22,65536
20,21,32768
21,22,65536
22,23,32768
22,25,81920
22,24,73728
23,22,73728
24,25,32768
25,26,81920
25,27,90112
26,27,32768
27,28,90112
27,30,98304
28,29,32768
29,30,98304
30,31,106496
30,31,32768
31,32,106496
31,33,114688
32,33,32768
33,34,114688
33,36,122880
34,35,32768
35,36,122880
36,37,131072
36,37,32768
37,38,131072
38,39,16384
39,40,18432
39,40,8192
40,41,18432
40,42,20480
41,42,8192
42,43,20480
42,45,22528
42,47,24576
43,44,8192
44,42,22528
45,46,8192
46,47,24576
47,48,8192
47,49,26624
47,51,28672
47,52,30720
48,47,26624
49,50,8192
50,47,28672
51,52,8192
52,54,32768
52,53,30720
53,54,8192
54,55,32768
54,57,34816
54,60,38912
54,59,36864
55,56,8192
56,54,34816
57,58,8192
58,54,36864
59,60,8192
60,61,38912
60,63,40960
60,65,43008
61,62,8192
62,60,40960
63,64,8192
64,65,43008
65,66,45056
65,66,8192
66,67,45056
66,69,47104
66,70,49152
67,68,8192
68,66,47104
69,70,8192
70,71,49152
70,72,51200
71,72,8192
72,73,51200
72,74,53248
73,74,8192
74,76,55296
74,75,53248
75,76,8192
76,78,57344
76,77,55296
77,78,8192
78,79,57344
78,80,59392
79,80,8192
80,81,59392
80,83,61440
80,85,63488
80,86,65536
81,82,8192
82,80,61440
83,84,8192
84,80,63488
85,86,8192
86,87,65536
87,88,8192
87,89,8704
88,89,2048
89,90,8704
89,92,9216
89,93,9728
90,91,2048
91,89,9216
92,93,2048
93,94,9728
93,96,10240
93,97,10752
94,95,2048
95,93,10240
96,97,2048
97,99,11264
97,98,10752
98,99,2048
99,100,11264
99,102,11776
99,104,12288
99,106,12800
99,108,13312
99,109,13824
100,101,2048
101,99,11776
102,103,2048
103,99,12288
104,105,2048
105,99,12800
106,107,2048
107,99,13312
108,109,2048
109,110,13824
109,112,14336
110,111,2048
111,112,14336
112,113,14848
112,113,2048
113,115,15360
113,114,14848
114,115,2048
115,117,15872
115,116,15360
116,117,2048
117,118,15872
118,119,2048
119,117,16384
