clk i_ni i_router o_ni o_router vnet flits
1 0 0 17 1 0 8
1 1 1 18 2 0 8
1 1 1 19 3 1 8
1 2 2 19 3 0 8
1 3 3 20 4 0 8
1 3 3 21 5 1 8
1 4 4 21 5 0 8
1 5 5 24 8 0 8
1 5 5 22 6 1 8
1 6 6 23 7 0 8
1 7 7 25 9 0 8
1 7 7 26 10 1 8
1 7 7 29 13 1 8
1 8 8 23 7 0 8
1 9 9 23 7 0 8
1 10 10 27 11 0 8
1 11 11 28 12 0 8
1 12 12 30 14 0 8
1 12 12 31 15 1 8
9 0 0 17 1 0 8
9 1 1 18 2 0 8
9 1 1 19 3 1 8
9 2 2 19 3 0 8
9 3 3 20 4 0 8
9 3 3 21 5 1 8
9 4 4 21 5 0 8
9 5 5 24 8 0 8
9 5 5 22 6 1 8
9 6 6 23 7 0 8
9 7 7 25 9 0 8
9 7 7 26 10 1 8
9 7 7 29 13 1 8
9 8 8 23 7 0 8
9 9 9 23 7 0 8
9 10 10 27 11 0 8
9 11 11 28 12 0 8
9 12 12 30 14 0 8
9 12 12 31 15 1 8
17 0 0 17 1 0 8
17 1 1 18 2 0 8
17 1 1 19 3 1 8
17 2 2 19 3 0 8
17 3 3 20 4 0 8
17 3 3 21 5 1 8
17 4 4 21 5 0 8
17 5 5 24 8 0 8
17 5 5 22 6 1 8
17 6 6 23 7 0 8
17 7 7 25 9 0 8
17 7 7 26 10 1 8
17 7 7 29 13 1 8
17 8 8 23 7 0 8
17 9 9 23 7 0 8
17 10 10 27 11 0 8
17 11 11 28 12 0 8
17 12 12 30 14 0 8
17 12 12 31 15 1 8
25 0 0 17 1 0 8
25 1 1 18 2 0 8
25 1 1 19 3 1 8
25 2 2 19 3 0 8
25 3 3 20 4 0 8
25 3 3 21 5 1 8
25 4 4 21 5 0 8
25 5 5 24 8 0 8
25 5 5 22 6 1 8
25 6 6 23 7 0 8
25 7 7 25 9 0 8
25 7 7 26 10 1 8
25 7 7 29 13 1 8
25 8 8 23 7 0 8
25 9 9 23 7 0 8
25 10 10 27 11 0 8
25 11 11 28 12 0 8
25 12 12 30 14 0 8
25 12 12 31 15 1 8
33 0 0 17 1 0 8
33 1 1 18 2 0 8
33 1 1 19 3 1 8
33 2 2 19 3 0 8
33 3 3 20 4 0 8
33 3 3 21 5 1 8
33 4 4 21 5 0 8
33 5 5 24 8 0 8
33 5 5 22 6 1 8
33 6 6 23 7 0 8
33 7 7 25 9 0 8
33 7 7 26 10 1 8
33 7 7 29 13 1 8
33 8 8 23 7 0 8
33 9 9 23 7 0 8
33 10 10 27 11 0 8
33 11 11 28 12 0 8
33 12 12 30 14 0 8
33 12 12 31 15 1 8
41 0 0 17 1 0 8
41 1 1 18 2 0 8
41 1 1 19 3 1 8
41 2 2 19 3 0 8
41 3 3 20 4 0 8
41 3 3 21 5 1 8
41 4 4 21 5 0 8
41 5 5 24 8 0 8
41 5 5 22 6 1 8
41 6 6 23 7 0 8
41 7 7 25 9 0 8
41 7 7 26 10 1 8
41 7 7 29 13 1 8
41 8 8 23 7 0 8
41 9 9 23 7 0 8
41 10 10 27 11 0 8
41 11 11 28 12 0 8
41 12 12 30 14 0 8
41 12 12 31 15 1 8
49 0 0 17 1 0 8
49 1 1 18 2 0 8
49 1 1 19 3 1 8
49 2 2 19 3 0 8
49 3 3 20 4 0 8
49 3 3 21 5 1 8
49 4 4 21 5 0 8
49 5 5 24 8 0 8
49 5 5 22 6 1 8
49 6 6 23 7 0 8
49 7 7 25 9 0 8
49 7 7 26 10 1 8
49 7 7 29 13 1 8
49 8 8 23 7 0 8
49 9 9 23 7 0 8
49 10 10 27 11 0 8
49 11 11 28 12 0 8
49 12 12 30 14 0 8
49 12 12 31 15 1 8
57 0 0 17 1 0 8
57 1 1 18 2 0 8
57 1 1 19 3 1 8
57 2 2 19 3 0 8
57 3 3 20 4 0 8
57 3 3 21 5 1 8
57 4 4 21 5 0 8
57 5 5 24 8 0 8
57 5 5 22 6 1 8
57 6 6 23 7 0 8
57 7 7 25 9 0 8
57 7 7 26 10 1 8
57 7 7 29 13 1 8
57 8 8 23 7 0 8
57 9 9 23 7 0 8
57 10 10 27 11 0 8
57 11 11 28 12 0 8
57 12 12 30 14 0 8
57 12 12 31 15 1 8
65 0 0 17 1 0 8
65 1 1 18 2 0 8
